period_id,country,region,population,conflicts_vdem,start_year,end_year,period_length,total_events,total_deaths,civilian_deaths,events_per_capita,deaths_per_capita,events_rate,deaths_rate
Albania_1991_1992,Albania,Eastern Europe and Central Asia,3256914500.0,0.0,1991,1992,1,0,0,0,0.0,0.0,0.0,0.0
Albania_1992_1996,Albania,Eastern Europe and Central Asia,3207535800.0,0.0,1992,1996,4,0,0,0,0.0,0.0,0.0,0.0
Albania_1996_1997,Albania,Eastern Europe and Central Asia,3158157000.0,0.0,1996,1997,1,0,0,0,0.0,0.0,0.0,0.0
Albania_1997_2005,Albania,Eastern Europe and Central Asia,3073760111.111111,0.0,1997,2005,8,10,26,2,0.0032533443204795748,0.008458695233246894,0.00040666804005994685,0.0010573369041558618
Albania_2005_2009,Albania,Eastern Europe and Central Asia,2969776800.0,0.0,2005,2009,4,0,0,0,0.0,0.0,0.0,0.0
Albania_2009_2013,Albania,Eastern Europe and Central Asia,2908245600.0,0.0,2009,2013,4,0,0,0,0.0,0.0,0.0,0.0
Albania_2013_2017,Albania,Eastern Europe and Central Asia,2882891400.0,0.0,2013,2017,4,0,0,0,0.0,0.0,0.0,0.0
Albania_2017_2023,Albania,Eastern Europe and Central Asia,2836528833.3333335,0.0,2017,2023,6,0,0,0,0.0,0.0,0.0,0.0
Algeria_1997_2002,Algeria,Middle East and North Africa,30817999500.0,1.0,1997,2002,5,1294,9385,1434,0.0419884489906621,0.30452982517570615,0.00839768979813242,0.06090596503514123
Algeria_2002_2007,Algeria,Middle East and North Africa,32961520833.333332,0.0,2002,2007,5,944,3291,785,0.028639455223357035,0.09984369400430933,0.005727891044671407,0.019968738800861866
Algeria_2007_2012,Algeria,Middle East and North Africa,35709041666.666664,0.0,2007,2012,5,771,2173,203,0.021591170303506234,0.060852935239324314,0.004318234060701247,0.012170587047864863
Algeria_2012_2017,Algeria,Middle East and North Africa,39352719000.0,0.0,2012,2017,5,339,873,52,0.008614398410437662,0.02218398174723327,0.0017228796820875324,0.004436796349446654
Algeria_2017_2018,Algeria,Middle East and North Africa,41808794500.0,0.0,2017,2018,1,36,112,2,0.0008610628560457537,0.0026788622188090114,0.0008610628560457537,0.0026788622188090114
Angola_1992_2008,Angola,Sub-Saharan Africa,16682640941.17647,0.0,1992,2008,16,1507,27107,3365,0.09033341934971391,1.6248626398889814,0.005645838709357119,0.10155391499306134
Angola_2008_2012,Angola,Sub-Saharan Africa,23378948600.0,0.0,2008,2012,4,24,40,7,0.0010265645564574277,0.0017109409274290463,0.0002566411391143569,0.0004277352318572616
Angola_2012_2017,Angola,Sub-Saharan Africa,27434852500.0,0.0,2012,2017,5,51,55,2,0.0018589493054500658,0.002004749250975561,0.0003717898610900132,0.00040094985019511223
Angola_2017_2023,Angola,Sub-Saharan Africa,32473453500.0,0.0,2017,2023,6,89,139,47,0.0027407001845368866,0.00428041938933289,0.0004567833640894811,0.0007134032315554818
Argentina_1989_1991,Argentina,Latin America and the Caribbean,32615262333.333332,0.0,1989,1991,2,0,0,0,0.0,0.0,0.0,0.0
Argentina_1991_1993,Argentina,Latin America and the Caribbean,33526141666.666668,0.0,1991,1993,2,1,0,0,2.9827470454026295e-05,0.0,1.4913735227013148e-05,0.0
Argentina_1993_1995,Argentina,Latin America and the Caribbean,34400313333.333336,0.0,1993,1995,2,1,86,86,2.9069502661506764e-05,0.0024999772288895818,1.4534751330753382e-05,0.0012499886144447909
Argentina_1995_1997,Argentina,Latin America and the Caribbean,35243994000.0,0.0,1995,1997,2,0,0,0,0.0,0.0,0.0,0.0
Argentina_1997_1999,Argentina,Latin America and the Caribbean,36062702333.333336,0.0,1997,1999,2,0,0,0,0.0,0.0,0.0,0.0
Argentina_1999_2001,Argentina,Latin America and the Caribbean,36871219333.333336,0.0,1999,2001,2,0,0,0,0.0,0.0,0.0,0.0
Argentina_2001_2003,Argentina,Latin America and the Caribbean,37681751000.0,0.0,2001,2003,2,0,0,0,0.0,0.0,0.0,0.0
Argentina_2003_2005,Argentina,Latin America and the Caribbean,38490920000.0,0.0,2003,2005,2,0,0,0,0.0,0.0,0.0,0.0
Argentina_2005_2007,Argentina,Latin America and the Caribbean,39289034333.333336,0.0,2005,2007,2,0,0,0,0.0,0.0,0.0,0.0
Argentina_2007_2009,Argentina,Latin America and the Caribbean,40082416000.0,0.0,2007,2009,2,0,0,0,0.0,0.0,0.0,0.0
