Series Name,Series Code,Country Name,Country Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,813.550255990893,747.688045459929,926.507941009788,966.962032047533,971.633503058856,1076.08735259624,1121.83447075137,1286.9498431073,1333.74726659751,1570.69814518678,1765.53802828895,1744.06062321558,1988.42930381554,2133.24127098647,2224.49074815215,2284.07584789349,2213.1814410479,2335.79586234454,2432.27670083336,2583.48533239877,2561.98176058622,2144.16657002819,2122.99581512665,2211.28063454007
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2549.25645432487,1908.95289466969,1823.15280841998,2057.29589735136,2289.69796396044,2665.55725197761,2979.8263588434,2717.1448652579,3021.0349606592,3471.6677890154,3861.30856837761,4300.83610719667,4751.82123659259,5000.30908227047,5427.79655580022,5865.238608149,6566.49056716277,7284.88734345398,8228.13188671656,8812.60473686415,9626.66489321844,10207.1698784161,10525.7225348883,10570.4198326029,11258.4572796244,11658.0457494095,12078.3488244026,12769.7625847853,13695.9139741887,14791.7339615133,14511.4389162881,16353.808681641,19596.7202597429,21925.6083767592
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7602.1872565437,7582.07194481605,7704.51644322124,7537.93868239305,7462.64758750468,7746.71683861168,8052.76856707946,8128.79891374451,8502.88835952017,8776.44209463643,9186.81590337785,9543.52035341031,10080.1825003517,10802.7506701297,11431.6856716154,12246.2692241793,12791.3412603745,13320.9641206136,13666.2181958374,13651.4472996123,14201.3659904784,14639.8779436268,14441.3293398806,14370.820661674,14694.143827383,13807.3515841478,13437.8460232169,13493.560749484,13727.1266357859,13892.5333446205,12676.5130564294,14496.8654697299,15836.0944368871,16824.4879032987
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24908.8709432463,24510.2460829667,23816.8404708944,22958.3257820049,23509.4599836987,24934.3827736476,26541.5814464695,29121.6037064173,30072.7272734117,31589.9582429847,33458.1181631977,36895.4402445087,38787.0522541539,41147.8806959814,42717.2377748966,44577.8193346422,46852.6583900414,47501.4309293902,44838.9949993515,42522.9945649587,43853.1712389445,46436.1158605018,45503.0444835288,45609.2307220926,48505.6017354794,50733.2390011701,53110.1426270832,53084.8639640903,55244.6554088177,57475.0692842215,52095.8414004627,59332.2029100127,68470.075948385,71730.6686821645
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3340.5984816713,3372.59696858821,3143.440610338,2369.24183154455,2374.02082091628,2695.80598498959,3013.33281304468,3178.49480246135,3254.24447466604,3262.97552882462,3326.77991383311,3427.85394948502,3824.28480436462,3878.50795455112,4262.90601264127,4876.28768389176,5404.38383004397,6095.99926680138,6651.37774105467,6498.16928212825,6607.02219696569,6711.39025723883,7354.94296631261,7561.03920495179,7990.27445672775,7119.72644274401,6843.73589660504,6992.7288342812,7347.79993635052,7528.38241791217,6450.74994625154,7408.12659121059,7924.88880583905,8040.70244971812
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12935.2240473887,13594.5744870247,13843.3559487705,14650.6712640689,15662.5039616709,14991.9070115283,15942.0117203497,16757.299176289,17414.2896276311,18003.7457273572,19228.4914831342,18481.7936276429,18724.7524583257,20033.2130195805,21527.4546791969,23374.9339326556,26823.3022216683,29710.9257725145,29837.9707172138,26034.5268098361,23958.4212623175,23692.724350004,22377.3619121949,21759.3680239872,21673.3949588348,20989.3858896307,21321.7097579145,21370.3095091624,24524.2137953887,26533.7301936962,22356.7687224849,25733.2948269644,30031.7474698743,32149.1403648823
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7158.30849127952,7960.97844042597,8667.85280353006,9472.44509946864,10103.0297413485,9890.92470883083,10495.8392453675,11403.4807923124,11835.67698712,11463.853308121,11499.9828002698,11117.754923304,9953.46492878861,10933.3925490662,12117.6797424618,13464.8128469003,14843.5778656186,16455.1129799188,17276.7570884025,16182.0753478429,17847.6110371438,19104.9909405228,19430.4178068112,19928.989490167,19487.4181748868,19899.1499275245,20105.761359796,23385.0740904917,24410.3919063335,23516.8261980886,22393.3479575353,26300.274261175,29597.6938429264,30082.3045247323
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2760.24950013383,2476.60309212528,1491.61267168515,1440.39367766731,1591.47883510174,1766.91014753775,1921.54998906893,2039.78832272816,2239.42758322,2376.51916942321,2530.74394657588,2844.36266354649,3282.11706336711,3836.22556765401,4377.22759688046,5172.21892096961,6072.75924465718,7136.75405509164,7827.316667339,6811.69247962741,7095.21267972094,7624.26772626905,8942.63537897164,9454.87852836557,9736.2349746279,9756.84084836026,10570.2720413936,12066.0043093819,12877.4937543553,14975.7539538157,14706.3173043422,15921.705281964,19161.370051419,21342.5145334886
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21732.8583139266,23099.9400860323,23889.0450169367,24575.6606597482,25791.0431784591,26254.7428026592,26004.4956279226,27240.8027885838,27412.7551935589,27765.6532571053,30245.7069739744,31920.239071845,31888.5087368958,32507.0843145555,35059.2730980113,35098.7976687362,35937.5946548103,37768.5660136644,38904.9992478386,34339.9391561123,33729.5119101741,35324.0720643325,34095.6471714416,35901.653313159,35657.2871970529,35972.8664446515,36117.5082112517,37524.9284784013,39287.0195169703,39110.2761899842,28976.4635497124,35696.3093722926,41649.4507917816,44967.3445127078
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17381.2252724823,17835.8304564765,18253.9697600814,19216.3066487676,20170.7847643535,21038.6667853022,22132.1929034356,23124.9639117233,24378.2453109245,25485.39144594,26541.6653208437,27645.8140289701,29032.4909555888,30121.8184177337,31763.7960926854,33036.5834770249,34846.7156302418,36653.8417179443,37532.9990434133,40312.3951186945,39372.8511038542,42022.7392158859,42863.3483169945,45930.8505081503,46903.770304139,46275.9119122188,47260.1529933747,48371.1409956585,50183.6898127634,52673.0638176231,53984.1246979075,57321.5631542565,65284.928186312,69231.3103595531
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19382.9664747914,20522.1855149093,21194.7573972524,21632.3186748084,22538.0742657382,23588.4562990757,24417.66429689,25294.723885165,26529.1815683188,27500.084954534,29214.7386484813,29556.403560049,30952.1708232398,31962.9255331065,33523.0204968283,34776.6699535218,37396.0350960866,39193.8173640977,41046.7900352112,40665.5046605019,41740.1149241758,44171.5618687028,46156.4832073037,47519.8522796571,48355.4977624407,49549.3162311441,52397.8635176673,53869.8321183555,56636.4953030539,60354.9279422121,58523.0337816244,63576.2416254062,71101.0667168287,73134.7854032466
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5253.928344414,5322.30156155142,4150.12686044349,3217.94587480169,2603.83438642015,2317.79279883847,2366.83980939422,2522.84373040765,2779.80698744176,3001.30534251865,3382.08308668081,3771.2705793939,4160.21616652063,4640.13437290613,5160.47262532578,6741.20096471132,9244.40645520997,11734.7641864862,12972.4427129521,13972.7309052382,14680.8741446231,14804.5744507911,15994.1466501836,17267.5118919537,17563.6122454385,15075.2726347911,14535.8020210633,14315.929643106,15282.9995232298,16675.3179361558,15163.5703327282,20111.3756952109,22552.114937879,23597.8378621757
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20152.3517789941,19622.3087667231,18950.9388649816,19098.3605640312,19769.5570360741,20721.7981602667,21647.200344849,21971.4808465729,22937.0749448747,24592.3910072156,25851.3542359851,26796.5189483822,27630.6166802687,27487.8316637077,28127.0993337793,29635.5365964802,30915.419775357,31760.0844582172,31197.2231023886,29690.1622783644,30125.760841879,30582.0473124073,31100.5660768195,30127.5454307017,31321.7025136306,31687.724047011,31916.2517635492,33703.2226750049,34668.809181369,35406.5739124983,26141.4530002473,29340.4723479708,34719.2847669033,36742.0620432456
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26902.0611447213,31657.3641880838,33648.2270990468,37869.5048677579,37579.1688353287,38839.4363966157,40105.8474937258,40965.3457402342,42281.2948959352,43560.5377248558,45687.5220018081,46161.575817761,45091.4893943822,45426.9348593075,46317.0282484903,47268.2721417414,48009.4919934893,49347.494494067,50330.3246512557,48625.6568314106,49254.5770079436,52677.4511190668,56712.5692656153,56310.3117458189,54299.0564613228,48034.2468880503,47428.9018907649,50184.5005767301,51993.1307818652,56599.5214364411,53436.0316999712,54954.6757895532,61562.1414837823,63497.6169362333
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,940.65447080066,987.313199477701,1044.89188609012,1099.38588804269,1145.11016605873,1206.36646700093,1260.75489522895,1315.4692332577,1372.95383937132,1429.98645249288,1511.90500589079,1597.58740607494,1658.80230934237,1746.12725780809,1861.51256287792,2019.73839561092,2195.29485455883,2388.10025156747,2554.85788234607,2675.25945928027,2833.69544366101,3051.26983271811,3434.27815090447,3691.10431102117,3972.50647733491,4212.23578089428,4579.13228682862,4882.60692615639,5490.15881865179,6047.12401504125,6640.58437331062,7441.06913961254,8450.54902533944,9147.77750665547
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11071.6479734221,10966.1388261103,10541.2324429135,10845.0063390141,11273.6829401619,11723.0940364488,12400.8223879963,13207.178009516,13851.2454467633,14089.9152533687,15075.9509426366,15030.0068340713,15283.4118718619,15826.6634843566,16387.8259929839,17478.1302191628,19019.1336763118,19846.0422354532,20250.1141748194,19253.2687012422,18977.5426796576,19165.0101287625,17936.9937259746,18004.6691202993,17752.5177240704,17804.7490038367,18013.6734415905,17898.8994551274,18551.1686491129,18760.3700129938,15824.49106614,15683.8847128096,19786.3615156208,21336.1575553015
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5220.47473093023,5329.79781634008,4917.12115174964,4640.85663941211,4190.32389324376,3845.70681635359,4039.34042410284,4596.48615963859,5061.33499020399,5331.41743687119,5795.65224182629,6238.09862993194,6697.15436392275,7361.72161601516,8482.92020173857,9636.89112407696,10994.5981283371,12320.024025772,13886.1314048183,14034.191120749,15339.0999024908,16563.2014078209,18114.7508606707,19014.0529737697,19037.8209530599,18133.5696288888,17832.4778855815,18413.7127377197,20026.0306698699,22301.5766886376,24872.3398993711,27611.1801135156,28429.4948814534,30763.0198215957
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18675.3121947985,19587.8553500426,20258.5474461442,20459.1891478373,21504.01177389,22431.459360451,22736.7580685985,23727.8975208193,24368.7574088239,25440.8411888638,27788.0908832256,28796.5795804462,30282.2886450283,30934.5826454577,32063.9826949865,33177.8909458158,35258.985063203,36799.5318686343,37883.3319417819,37885.9059125602,39844.4054386496,41244.8495035213,42483.5250666788,43864.1204196838,45147.6429534057,46071.914889496,48414.5518065681,50256.0631772784,52466.7330784599,56712.4695719782,56120.0958420466,61873.9649551893,69456.869820456,72070.7590599945
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4473.90290895439,5060.51070605935,5714.30621399446,6083.96777998496,6081.74072826924,6100.07048827251,6096.38437206112,6252.02001341667,6342.85584852988,6800.70134747602,7555.13433419338,7863.51714472982,8165.86601858136,8863.00540776568,9258.88296120649,9480.48068168702,9924.68920121382,10242.8475585297,9985.97881559762,9744.23020511419,9734.89239719758,9697.85343903603,9266.09146145698,9514.40354285543,9489.94683154866,9538.19054142614,9401.53293960018,9121.74716397996,9527.70914005255,10531.3234398626,9618.01643529994,11677.4610095172,13465.9807069861,13823.4379513758
